2025-12-31 16:59:50,764 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=KRKR interval=1d
2025-12-31 16:59:50,764 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MSBI interval=1d path=cache\623d7a10067575227758db0d.parquet
2025-12-31 16:59:50,764 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MSBI interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:50,925 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=MSBI interval=1d
2025-12-31 16:59:50,925 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=DYOR interval=1d path=cache\e5a350d0af10cb9470349649.parquet
2025-12-31 16:59:50,925 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=DYOR interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,056 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=DYOR interval=1d
2025-12-31 16:59:51,056 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MAMK interval=1d path=cache\c8a81983892c6471d705e482.parquet
2025-12-31 16:59:51,056 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MAMK interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,217 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=MAMK interval=1d
2025-12-31 16:59:51,218 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=IBOC interval=1d path=cache\796228aa73bf4e84bf241df8.parquet
2025-12-31 16:59:51,218 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=IBOC interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,407 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=IBOC interval=1d
2025-12-31 16:59:51,407 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=PTC interval=1d path=cache\81b102ebd0fc901cfc2b3ade.parquet
2025-12-31 16:59:51,407 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=PTC interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,551 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=PTC interval=1d
2025-12-31 16:59:51,551 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=TELA interval=1d path=cache\1f3bec0166b029ba7eb53d02.parquet
2025-12-31 16:59:51,551 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=TELA interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,700 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=TELA interval=1d
2025-12-31 16:59:51,701 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MDAIW interval=1d path=cache\06b11dfed1e4b7b7f83d5838.parquet
2025-12-31 16:59:51,701 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MDAIW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,824 | WARNING | backtest_v15.data | DATA_EMPTY ticker=MDAIW interval=1d
2025-12-31 16:59:51,824 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MOLN interval=1d path=cache\f6f1bb3041264dd58d97618b.parquet
2025-12-31 16:59:51,824 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MOLN interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:51,981 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=MOLN interval=1d
2025-12-31 16:59:51,981 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=CTMX interval=1d path=cache\52c05ed78e1ca328d66077e6.parquet
2025-12-31 16:59:51,981 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=CTMX interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,115 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=CTMX interval=1d
2025-12-31 16:59:52,115 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=HOPE interval=1d path=cache\026c5cec4c523a8c57860d4d.parquet
2025-12-31 16:59:52,115 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=HOPE interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,326 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=HOPE interval=1d
2025-12-31 16:59:52,326 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=MAYS interval=1d path=cache\74b17e3a455f3e6d3fecba89.parquet
2025-12-31 16:59:52,326 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=MAYS interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,446 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=MAYS interval=1d
2025-12-31 16:59:52,446 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ECX interval=1d path=cache\e6191b158dd6ef7e35239b71.parquet
2025-12-31 16:59:52,446 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ECX interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:52,569 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=ECX interval=1d
